Community,Size,Source 
77th Street,11.9,https://www.lapdonline.org/lapd-contact/south-bureau/77th-street-community-police-station/
Central,4.5,https://www.lapdonline.org/lapd-contact/central-bureau/central-community-police-station/
Devonshire,48.31,https://www.lapdonline.org/lapd-contact/valley-bureau/devonshire-community-police-station/
Foothill,46.13,https://www.lapdonline.org/lapd-contact/valley-bureau/foothill-community-police-station/
Harbor,27,https://www.lapdonline.org/lapd-contact/south-bureau/harbor-community-police-station/
Hollenbeck,15.2,https://www.lapdonline.org/lapd-contact/central-bureau/hollenbeck-community-police-station/
Hollywood,17.2,https://www.lapdonline.org/lapd-contact/west-bureau/hollywood-community-police-station/
Mission,25.1,https://www.lapdonline.org/lapd-contact/valley-bureau/mission-community-police-station/
N Hollywood,25,https://www.lapdonline.org/lapd-contact/valley-bureau/north-hollywood-community-police-station/
Newton,10.76,https://www.lapdonline.org/lapd-contact/central-bureau/newton-community-police-station/
Northeast,29,https://www.lapdonline.org/lapd-contact/central-bureau/northeast-community-police-station/
Olympic,1.95,https://www.lapdonline.org/lapd-contact/west-bureau/olympic-community-police-station/
Pacific,25.74,https://www.lapdonline.org/lapd-contact/west-bureau/pacific-community-police-station/
Rampart,5.54,https://www.lapdonline.org/lapd-contact/central-bureau/rampart-community-police-station/
Southeast,10.2,https://www.lapdonline.org/lapd-contact/south-bureau/southeast-community-police-station/
Southwest,13.11,https://www.lapdonline.org/lapd-contact/south-bureau/southwest-community-police-station/
Topanga,18.43,https://www.lapdonline.org/lapd-contact/valley-bureau/topanga-community-police-station/
Van Nuys,30,https://www.lapdonline.org/lapd-contact/valley-bureau/van-nuys-community-police-station/
West LA,65.14,https://www.lapdonline.org/lapd-contact/west-bureau/west-los-angeles-community-police-station/
West Valley,33.5,https://www.lapdonline.org/lapd-contact/valley-bureau/west-valley-community-police-station/
Wilshire,13.97,https://www.lapdonline.org/lapd-contact/west-bureau/wilshire-community-police-station/
